smiles_aromatic,smiles_kekulized,nb_atoms,sw_filter_chembl,sw_filter_zinc,nb_unknown_gcf_chembl,nb_unknown_ecfp_chembl,nb_unknown_gcf_chembl_zinc,nb_unknown_ecfp_chembl_zinc
OCC=Cc1ccccc1,OCC=CC1=CC=CC=C1,10,1.0,1.0,0,0,0,0
NOCc1ccccc1F,NOCC1=CC=CC=C1F,10,1.0,1.0,0,0,0,0
NCc1c[nH]c(C(=O)O)c1,NCC1=CNC(C(=O)O)=C1,10,1.0,1.0,0,0,0,0
O=C(O)C=Cc1ncc[nH]1,O=C(O)C=CC1=NC=CN1,10,1.0,1.0,0,0,0,0
O=C(O)CNc1ccccc1,O=C(O)CNC1=CC=CC=C1,11,1.0,1.0,0,0,0,0
O=CC1CC=CCC1,O=CC1CC=CCC1,8,1.0,1.0,0,0,0,0
COC(=O)C1CN=CNC1,COC(=O)C1CN=CNC1,10,1.0,1.0,0,0,0,0
CN=CNc1ccc(C)cc1C,CN=CNC1=CC=C(C)C=C1C,12,1.0,1.0,0,0,0,0
c1ccc(C2CSSC2)nc1,C1=CC=C(C2CSSC2)N=C1,11,1.0,1.0,0,0,0,0
CCCSCCNCCN,CCCSCCNCCN,10,1.0,1.0,0,0,0,0
Nc1csnc1C(=O)O,NC1=CSN=C1C(=O)O,9,1.0,1.0,0,0,0,0
C=CCC=CC,C=CCC=CC,6,1.0,1.0,0,0,0,0
Cc1ccc(NC(=N)N)cn1,CC1=CC=C(NC(=N)N)C=N1,11,1.0,1.0,0,0,0,0
CC(c1ccccc1)C(C)(C)N,CC(C1=CC=CC=C1)C(C)(C)N,12,1.0,1.0,0,0,0,0
C=CCOCCCc1c[nH]cn1,C=CCOCCCC1=CNC=N1,12,1.0,1.0,0,0,0,0
CC(Cc1ccccc1)N(C)C,CC(CC1=CC=CC=C1)N(C)C,12,1.0,1.0,0,0,0,0
CN(C)CC1CCCCC1=O,CN(C)CC1CCCCC1=O,11,1.0,1.0,0,0,0,0
CCc1ccccc1CC,CCC1=CC=CC=C1CC,10,1.0,1.0,0,0,0,0
CN(C)C(C)(C)CO,CN(C)C(C)(C)CO,8,1.0,1.0,0,0,0,0
N#CCc1ccccc1,N#CCC1=CC=CC=C1,9,1.0,1.0,0,0,0,0
NC(N)=O,NC(N)=O,4,1.0,1.0,0,0,0,0
CC(=O)SCCN,CC(=O)SCCN,7,1.0,1.0,0,0,0,0
Nc1ccc(S(N)(=O)=O)cc1N,NC1=CC=C(S(N)(=O)=O)C=C1N,12,1.0,1.0,0,0,0,0
CCn1ccc(=N)cc1,CCN1C=CC(=N)C=C1,9,1.0,1.0,0,0,0,0
NC12CC3CCC(CC(C3)C1)C2,NC12CC3CCC(CC(C3)C1)C2,12,1.0,1.0,0,0,0,0
CCCCCC(CO)CCC,CCCCCC(CO)CCC,11,1.0,1.0,0,0,0,0
Cc1ccc(C(=O)O)o1,CC1=CC=C(C(=O)O)O1,9,1.0,1.0,0,0,0,0
NCCOC=CC(N)C(=O)O,NCCOC=CC(N)C(=O)O,11,1.0,1.0,0,0,0,0
c1csc(CN2CCNCC2)c1,C1=CSC(CN2CCNCC2)=C1,12,1.0,1.0,0,0,0,0
CC(CCN)NCCCCN,CC(CCN)NCCCCN,11,1.0,1.0,0,0,0,0
CCNCc1ccccc1,CCNCC1=CC=CC=C1,10,1.0,1.0,0,0,0,0
NOCc1ccc(F)cc1,NOCC1=CC=C(F)C=C1,10,1.0,1.0,0,0,0,0
N=C(N)NC(=O)c1cnccn1,N=C(N)NC(=O)C1=CN=CC=N1,12,1.0,1.0,0,0,0,0
O=C(O)C=NNc1ccccn1,O=C(O)C=NNC1=CC=CC=N1,12,1.0,1.0,0,0,0,0
N=C(N)CSCC(=O)O,N=C(N)CSCC(=O)O,9,1.0,1.0,0,0,0,0
NC1=NC2(CCCCC2)CCS1,NC1=NC2(CCCCC2)CCS1,12,1.0,1.0,0,0,0,0
CCCC1=NCCn2cccc21,CCCC1=NCCN2C=CC=C12,12,1.0,1.0,0,0,0,0
CCc1ccc(O)c(OC)c1,CCC1=CC=C(O)C(OC)=C1,11,1.0,1.0,0,0,0,0
CC(C)CCC(=O)O,CC(C)CCC(=O)O,8,1.0,1.0,0,0,0,0
CC(C=O)=Cc1ccccc1,CC(C=O)=CC1=CC=CC=C1,11,1.0,1.0,0,0,0,0
N=C(N)NCCCCSC(=N)N,N=C(N)NCCCCSC(=N)N,12,1.0,1.0,0,0,0,0
Cc1ccccc1C1CC1CN,CC1=CC=CC=C1C1CC1CN,12,1.0,1.0,0,0,0,0
CC(C)N1CCNC1=S,CC(C)N1CCNC1=S,9,1.0,1.0,0,0,0,0
O=C1COC2(CCNCC2)C1,O=C1COC2(CCNCC2)C1,11,1.0,1.0,0,0,0,0
Nc1n[nH]c(=O)n2ncnc12,NC1=NNC(=O)N2N=CN=C12,11,1.0,1.0,0,0,0,0
CC1CC(=O)N2CCSC2=N1,CC1CC(=O)N2CCSC2=N1,11,1.0,1.0,0,0,0,0
NC1=NC(=O)NCN1,NC1=NC(=O)NCN1,8,1.0,1.0,0,0,0,0
Cc1ncc(CO)c(N)c1O,CC1=NC=C(CO)C(N)=C1O,11,1.0,1.0,0,0,0,0
NCCCCNC(=O)CCCN,NCCCCNC(=O)CCCN,12,1.0,1.0,0,0,0,0
CC(C)(C)N(CCO)CCO,CC(C)(C)N(CCO)CCO,11,1.0,1.0,0,0,0,0
COC(=O)C1CCC(N)=NC1,COC(=O)C1CCC(N)=NC1,11,1.0,1.0,0,0,0,0
